Tous	HP:0000001
Plagiocéphalie antérieure déformationnelle	HP:0011326
Plagiocéphalie frontale déformationnelle	HP:0011326
Plagiocéphalie frontale	HP:0011326
Plagiocéphalie antérieure positionnelle	HP:0011326
Plagiocéphalie frontale positionnelle	HP:0011326
Craniosynostose unicoronale	HP:0011326
Plagiocéphalie postérieure	HP:0011327
Plagiocéphalie postérieure déformationnelle	HP:0011327
Plagiocéphalie occipitale	HP:0011327
Anomalie des fontanelles	HP:0011328
Anomalie des fontanelles	HP:0011328
Anomalie des sutures crâniennes	HP:0011329
Anomalie des sutures crâniennes	HP:0011329
Anomalie des sutures bregma	HP:0011329
Anomalie des sutures du calvaire	HP:0011329
Anomalie des sutures crâniennes	HP:0011329
Anomalie de la suture du crâne	HP:0011329
Synostose métopique	HP:0011330
Craniosynostose métopique	HP:0011330
Craniosynostose par suture métopique	HP:0011330
Atrophie hémifaciale	HP:0011331
Atrophie de la moitié du visage	HP:0011331
Atrophie d'un côté du visage	HP:0011331
Hémiatrophie faciale	HP:0011331
Hypoplasie hémifaciale	HP:0011332
Diminution de la taille de la moitié du visage	HP:0011332
Diminution de la taille d'un côté du visage	HP:0011332
Diminution de la taille de la moitié du visage	HP:0011332
Diminution de la taille d'un côté du visage	HP:0011332
Microsomie hémifaciale	HP:0011332
Rétrécissement de la moitié du visage	HP:0011332
Rétrécissement d'un côté du visage	HP:0011332
Visage asymétrique qui pleure	HP:0011333
Visage asymétrique qui pleure	HP:0011333
Hypoplasie de l'angle dépresseur du muscle buccal	HP:0011333
Parésie faciale partielle unilatérale	HP:0011333
Déformation de la forme du visage	HP:0011334
Distorsion de la forme du visage	HP:0011334
Compression de la forme du visage	HP:0011334
Déformation de la forme du visage	HP:0011334
Hirsutisme frontal	HP:0011335
Front poilu	HP:0011335
Front hirsute	HP:0011335
Marques de pinces bitemporales	HP:0011336
Aplasie cutanée bitemporale congénitale	HP:0011336
Dysplasie ectodermique congénitale du visage	HP:0011336
Lésions faciales congénitales, bilatérales, cicatricielles	HP:0011336
Dysplasie cutanée focale du visage	HP:0011336
Défaut cutané temporal	HP:0011336
Anomalie de la taille de la bouche	HP:0011337
Anomalie de la taille de la bouche	HP:0011337
Anomalie de taille de bouche	HP:0011337
Anomalie de la forme de la bouche	HP:0011338
Anomalie de la forme de la bouche	HP:0011338
Anomalie de forme de la bouche	HP:0011338
Forme de bouche inhabituelle	HP:0011338
Anomalie du vermillon de la lèvre supérieure	HP:0011339
Anomalie de la partie rouge de la lèvre supérieure	HP:0011339
Anomalie de la lèvre supérieure vermillon	HP:0011339
Déformation de la lèvre supérieure vermillon	HP:0011339
Malformation de la lèvre supérieure vermillon	HP:0011339
Fente incomplète de la lèvre supérieure	HP:0011340
Forme tronconique de fente labiale unilatérale	HP:0011340
Cheiloschisis incomplet	HP:0011340
Fente incomplète de la lèvre supérieure	HP:0011340
Fente échancrée de la lèvre supérieure	HP:0011340
Fente partielle de la lèvre supérieure	HP:0011340
Longue lèvre supérieure	HP:0011341
Allongement de la lèvre supérieure	HP:0011341
Augmentation de la hauteur de la lèvre supérieure	HP:0011341
Augmentation de la longueur verticale de la lèvre supérieure	HP:0011341
Longue lèvre supérieure	HP:0011341
Léger retard de développement mondial	HP:0011342
Retard de développement global, léger	HP:0011342
Retard psychomoteur, léger	HP:0011342
Retard de développement global modéré	HP:0011343
Retard de développement global, modéré	HP:0011343
Retard psychomoteur, modéré	HP:0011343
Grave retard de développement mondial	HP:0011344
Retard de développement global, grave	HP:0011344
Retard psychomoteur sévère	HP:0011344
Retard modéré du langage expressif	HP:0011345
Léger retard du langage expressif	HP:0011346
Anomalie de l'abduction oculaire	HP:0011347
Morphologie anormale du sixième nerf crânien	HP:0011348
Morphologie anormale du nerf abducens	HP:0011348
Anomalie du sixième nerf crânien	HP:0011348
Paralysie d'Abducens obsolète	HP:0011349
Léger retard du langage réceptif	HP:0011350
Retard de langage réceptif modéré	HP:0011351
Retard sévère du langage réceptif	HP:0011352
Fibrose artérielle intimale	HP:0011353
Fibrose intimale	HP:0011353
Anomalie généralisée de la peau	HP:0011354
Anomalie généralisée de la peau	HP:0011354
Anomalie généralisée de la peau	HP:0011354
Lésion cutanée localisée	HP:0011355
Lésion cutanée localisée	HP:0011355
Lésion cutanée localisée	HP:0011355
Anomalie régionale de la peau	HP:0011356
obsolète Anomalie de la densité des cheveux	HP:0011357
Hypopigmentation généralisée des cheveux	HP:0011358
Hypopigmentation généralisée des cheveux	HP:0011358
Cheveux secs	HP:0011359
Cheveux secs	HP:0011359
Modèle de cheveux anormal acquis	HP:0011360
Modèle de cheveux anormal acquis	HP:0011360
Pilosité congénitale anormale	HP:0011361
Modèle de cheveux anormal depuis la naissance	HP:0011361
Quantité de cheveux anormale	HP:0011362
Quantité de cheveux anormale	HP:0011362
Anomalie de densité capillaire	HP:0011362
Anomalie du taux de croissance des cheveux	HP:0011363
Anomalie du taux de croissance des cheveux	HP:0011363
Anomalie du rythme de pousse des cheveux	HP:0011363
Anomalie de la vitesse de croissance des cheveux	HP:0011363
Cheveux blancs	HP:0011364
Cheveux blancs	HP:0011364
Hypopigmentation inégale des cheveux	HP:0011365
Ongles jaunes	HP:0011367
Ongles jaunes	HP:0011367
Épaississement épidermique	HP:0011368
Anomalie de kératinisation	HP:0011368
Tache bleue mongole	HP:0011369
Infections fongiques cutanées récurrentes	HP:0011370
Infections cutanées virales récurrentes	HP:0011371
Infections cutanées virales récurrentes	HP:0011371
Aplasie de l'oreille interne	HP:0011372
Oreille interne absente	HP:0011372
Aplasie du labyrinthe	HP:0011372
Aplasie labyrinthique	HP:0011372
déformation de Michel	HP:0011372
Partition incomplète de la cochlée	HP:0011373
Partition incomplète de la cochlée de type I	HP:0011374
Aplasie cochléaire	HP:0011375
Cochlée absente	HP:0011375
Anomalie morphologique du vestibule de l'oreille interne	HP:0011376
Anomalie vestibulaire	HP:0011376
Aplasie du vestibule	HP:0011377
Ils sont absents du vestibule	HP:0011377
Hypoplasie du vestibule de l'oreille interne	HP:0011378
Vestibule dilaté de l'oreille interne	HP:0011379
Anomalie morphologique du canal semi-circulaire	HP:0011380
Aplasie du canal semi-circulaire	HP:0011381
Canal semi-circulaire absent	HP:0011381
Hypoplasie du canal semi-circulaire	HP:0011382
Hypoplasie des canaux semi-circulaires	HP:0011382
Petit canal semi-circulaire	HP:0011382
Canal semi-circulaire élargi	HP:0011383
Canal semi-circulaire dilaté	HP:0011383
Anomalie du conduit auditif interne	HP:0011384
Anomalie du méat acoustique interne	HP:0011384
Canal auditif interne absent	HP:0011385
Canal auditif interne étroit	HP:0011386
Aqueduc vestibulaire élargi	HP:0011387
Aqueduc vestibulaire dilaté	HP:0011387
Aqueduc vestibulaire élargi	HP:0011387
Aqueduc cochléaire élargi	HP:0011388
Aqueduc cochléaire dilaté	HP:0011388
Anomalie fonctionnelle de l'oreille interne	HP:0011389
Anomalie fonctionnelle de l'oreille interne	HP:0011389
Anomalie morphologique de l'oreille interne	HP:0011390
Anomalie morphologique des nerfs de l'oreille interne	HP:0011391
Anomalie du nerf vestibulaire	HP:0011392
Aplasie du nerf vestibulaire.	HP:0011393
Nerf crânien absent viii	HP:0011393
Absence du huitième nerf crânien	HP:0011393
Le nerf vestibulaire est absent	HP:0011393
Aplasie du nerf crânien VIII	HP:0011393
Aplasie du huitième nerf crânien	HP:0011393
Hypoplasie du nerf vestibulaire	HP:0011394
Hypoplasie du nerf crânien VIII	HP:0011394
Hypoplasie du huitième nerf crânien	HP:0011394
Nerf vestibulaire fin	HP:0011394
Aplasie/Hypoplasie de la cochlée	HP:0011395
Cochlée absente/petite	HP:0011395
Cochlée absente/sous-développée	HP:0011395
Anomalie du nerf cochléaire	HP:0011396
Anomalie de la colonne dorsale de la moelle épinière	HP:0011397
hypotonie centrale obsolète	HP:0011398
Atrophie tibiale	HP:0011399
Dégénérescence du muscle tibial	HP:0011399
Myélinisation anormale du SNC	HP:0011400
Formation anormale des gaines de myéline	HP:0011400
Myélinisation périphérique retardée	HP:0011401
Neuropathie sensorielle démyélinisante	HP:0011402
Morphologie anormale des vaisseaux sanguins du cordon ombilical	HP:0011403
Vaisseaux sanguins anormaux du cordon ombilical	HP:0011403
Petite taille mortelle au tronc court	HP:0011404
Nanisme mortel du tronc court	HP:0011404
Petite taille des membres courts apparaissant dans l'enfance	HP:0011405
Nanisme des membres courts identifiable pendant l'enfance	HP:0011405
Petite taille du tronc court début de la petite enfance	HP:0011406
Nanisme du tronc court, identifiable dès la petite enfance	HP:0011406
Grande stature proportionnelle	HP:0011407
Retard de croissance intra-utérin modéré	HP:0011408
Morphologie anormale de la membrane placentaire	HP:0011409
Anomalie des membranes placentaires	HP:0011409
césarienne	HP:0011410
césarienne	HP:0011410
Livraison par forceps	HP:0011411
Livraison par forceps	HP:0011411
Livraison Ventouse	HP:0011412
Aspiration sous vide	HP:0011412
Accouchement vaginal assisté par dépression	HP:0011412
Dystocie de l'épaule	HP:0011413
Placenta hydropique	HP:0011414
Hydrops du placenta	HP:0011414
Placenta calcifié	HP:0011415
Infarctus placentaire	HP:0011416
Thromboembolie placentaire	HP:0011416
Long cordon ombilical	HP:0011417
Long cordon ombilical	HP:0011417
Insertion anormale du cordon ombilical	HP:0011418
Décollement placentaire	HP:0011419
La rupture du gâteau	HP:0011419
Âge du décès	HP:0011420
Mort à l'adolescence	HP:0011421
Mort à l'adolescence	HP:0011421
Concentration anormale de chlorure dans le sang	HP:0011422
Concentration anormale de Cl dans le sang	HP:0011422
Concentration anormale de Cl dans le sang	HP:0011422
Anomalie de l'homéostasie du chlorure	HP:0011422
Hyperchlorémie	HP:0011423
Augmentation du zinc sérique	HP:0011424
Hyperzincémie	HP:0011424
Marqueur souple pour échographie fœtale	HP:0011425
Marqueur souple pour échographie fœtale	HP:0011425
Kystes du plexus choroïde fœtal	HP:0011426
Kystes du plexus choroïde fœtal	HP:0011426
Grande citerne fœtale élargie	HP:0011427
Grande citerne fœtale élargie	HP:0011427
Longueur courte du fémur fœtal	HP:0011428
Longueur courte du fémur fœtal	HP:0011428
Longueur courte du fémur fœtal	HP:0011428
Longueur courte du fémur fœtal	HP:0011428
Longueur de l'humérus fœtal courte	HP:0011429
Os long fœtal court dans la longueur du bras	HP:0011429
Longueur de l'humérus fœtal courte	HP:0011429
Os long fœtal court dans la longueur du bras	HP:0011429
Hypoplasie de l'os nasal fœtal	HP:0011430
Hypoplasie de l'os nasal fœtal	HP:0011430
Os du nez fœtal sous-développé	HP:0011430
Os du nez fœtal sous-développé	HP:0011430
Clinodactylie du cinquième doigt fœtal	HP:0011431
Courbure du petit doigt fœtal	HP:0011431
Courbure du petit doigt fœtal	HP:0011431
Courbure du petit doigt fœtal	HP:0011431
Clinodactylie du cinquième doigt fœtal	HP:0011431
Courbure du petit doigt fœtal	HP:0011431
Courbure du petit doigt fœtal	HP:0011431
Courbure du petit doigt fœtal	HP:0011431
Alpha-fœtoprotéine sérique maternelle élevée	HP:0011432
MoM d'alpha-fœtoprotéine sérique maternelle élevée	HP:0011432
MSAFP élevée MoM	HP:0011432
Augmentation du taux sérique d'alpha-fœtoprotéine maternelle	HP:0011432
MSAFP MoM>2,5	HP:0011432
Gonadotrophine chorionique sérique maternelle élevée	HP:0011433
HCG sérique maternelle élevée	HP:0011433
Faible taux de gonadotrophine chorionique sérique maternelle	HP:0011434
HCG sérique maternelle faible	HP:0011434
Faible taux sérique maternel de PAPP-A	HP:0011435
Dépistage sérique maternel anormal	HP:0011436
Maladie auto-immune maternelle	HP:0011437
Exposition tératogène maternelle	HP:0011438
Rhabdomylose induite par l'anesthésie	HP:0011439
Rhabdomyolyse alcoolique	HP:0011440
Anomalie de la moelle allongée	HP:0011441
Anomalie du myencéphale	HP:0011441
Fonction motrice centrale anormale	HP:0011442
Anomalie de la fonction motrice centrale	HP:0011442
Anomalie de coordination	HP:0011443
Anomalie de coordination	HP:0011443
Problème de coordination	HP:0011443
Décortiquer la rigidité	HP:0011444
Paralysie cérébrale athétoïde	HP:0011445
Paralysie cérébrale dyskinétique	HP:0011445
Anomalie de la fonction mentale supérieure	HP:0011446
Hyposegmentation des noyaux neutrophiles	HP:0011447
Hyposegmentation des noyaux neutrophiles dans le sang périphérique	HP:0011447
Anomalie Pilger-Huet	HP:0011447
Clonus de cheville	HP:0011448
Mouvements rythmiques anormaux de la cheville	HP:0011448
Clonus du genou	HP:0011449
Clonus rotulien	HP:0011449
Infection inhabituelle du SNC	HP:0011450
Infection du système nerveux central	HP:0011450
Microcéphalie primaire	HP:0011451
Diminution congénitale du tour de tête	HP:0011451
Microcéphalie congénitale	HP:0011451
Petite tête congénitale	HP:0011451
Petit tour de tête congénital	HP:0011451
Petit crâne congénital	HP:0011451
Diminution du tour de tête présente à la naissance	HP:0011451
Tour de tête petit pour l'âge gestationnel	HP:0011451
Microcéphalie présente à la naissance	HP:0011451
Petit crâne présent à la naissance	HP:0011451
Petit tour de tête présent à la naissance	HP:0011451
Petite tête présente à la naissance	HP:0011451
Petit crâne présent à la naissance	HP:0011451
Anomalie fonctionnelle de l'oreille moyenne	HP:0011452
Anomalie fonctionnelle de l'oreille moyenne	HP:0011452
Anomalie de l'enclume	HP:0011453
Anomalie du marteau	HP:0011454
Marteau absent	HP:0011455
Étrier absent	HP:0011456
Perte de cils	HP:0011457
Madarose ciliaire	HP:0011457
Les cils sont tombés	HP:0011457
Perte de cils	HP:0011457
Milphose	HP:0011457
Cils manquants	HP:0011457
Symptôme abdominal	HP:0011458
Carcinome de l'œsophage	HP:0011459
Apparition embryonnaire	HP:0011460
Apparition fœtale	HP:0011461
Apparition fœtale	HP:0011461
Apparition chez le jeune adulte	HP:0011462
Début de l'enfance	HP:0011463
Les symptômes commencent dès l'enfance	HP:0011463
Aganglionose de l'intestin grêle	HP:0011464
Aganglionose duodénale	HP:0011465
Aplasie/Hypoplasie de la vésicule biliaire	HP:0011466
Vésicule biliaire absente/petite	HP:0011466
Vésicule biliaire absente/sous-développée	HP:0011466
Vésicule biliaire absente	HP:0011467
Vésicule biliaire absente	HP:0011467
Agénésie de la vésicule biliaire	HP:0011467
Aplasie de la vésicule biliaire	HP:0011467
Tics du visage	HP:0011468
Crampes des muscles du visage	HP:0011468
Spasmes du visage	HP:0011468
Tics du visage	HP:0011468
Spasmes involontaires des muscles du visage	HP:0011468
Secousses des muscles du visage	HP:0011468
Imitez les spasmes	HP:0011468
Spasme musculaire du visage	HP:0011468
Myoclonie des muscles du visage	HP:0011468
Spasmes des muscles du visage	HP:0011468
Contractions des muscles du visage	HP:0011468
Insuffisance nasale	HP:0011469
Alimentation par sonde nasogastrique pendant la petite enfance	HP:0011470
Alimentation par sonde de gastrostomie pendant la petite enfance	HP:0011471
Alimenté au PEG pendant la petite enfance	HP:0011471
Anomalie de la morphologie des villosités de l'intestin grêle	HP:0011472
Forme anormale des villosités de l'intestin grêle	HP:0011472
Atrophie villeuse	HP:0011473
Atrophie des villosités de l'intestin grêle	HP:0011473
La biopsie montre une atrophie villeuse	HP:0011473
Atrophie villeuse duodénale	HP:0011473
La biopsie de l'intestin grêle montre une atrophie villeuse	HP:0011473
Degré variable d'atrophie villeuse	HP:0011473
Dégénérescence villeuse	HP:0011473
Déficience auditive neurosensorielle apparue pendant l'enfance	HP:0011474
Artère stapédie persistante	HP:0011475
Déficience auditive neurosensorielle profonde	HP:0011476
Nystagmus optimiste	HP:0011477
Véritable anophtalmie	HP:0011478
Anophtalmie complète	HP:0011478
Globe oculaire complètement manquant	HP:0011478
Anophtalmie totale	HP:0011478
Morphologie anormale du point lacrymal	HP:0011479
Anomalie du point lacrymal	HP:0011479
Microphtalmie unilatérale	HP:0011480
Globe oculaire anormalement petit d’un côté	HP:0011480
Nanophtalmie unilatérale	HP:0011480
Morphologie anormale du canal lacrymal	HP:0011481
Anomalie du canalicule lacrymal	HP:0011481
Anomalie du canal lacrymal	HP:0011481
Morphologie anormale des glandes lacrymales	HP:0011482
Anomalie de la glande lacrymale	HP:0011482
Synéchies antérieures de la chambre antérieure	HP:0011483
Synéchies antérieures	HP:0011483
Adhérence cornée-iris	HP:0011483
Synéchie iridocornéenne	HP:0011483
Synéchies postérieures de la chambre antérieure	HP:0011484
Adhérences iridolenticulaires	HP:0011484
Synéchies postérieures	HP:0011484
Adhérence cornéolenticulaire	HP:0011485
Anomalie de l'épaisseur cornéenne	HP:0011486
Augmentation de l'épaisseur de la cornée	HP:0011487
Morphologie anormale de l'endothélium cornéen	HP:0011488
Anomalie de l'endothélium cornéen	HP:0011488
Migration anormale de l'endothélium cornéen	HP:0011489
Morphologie anormale de la membrane de Descemet	HP:0011490
Anomalie de la membrane de Descemet	HP:0011490
Nombre réduit de cellules endothéliales cornéennes	HP:0011491
Anomalie du stroma cornéen	HP:0011492
Opacification centrale de la cornée	HP:0011493
Opacification généralisée de la cornée	HP:0011494
Opacification généralisée de la cornée	HP:0011494
Morphologie anormale de l'épithélium cornéen	HP:0011495
Anomalie de l'épithélium cornéen	HP:0011495
Néovascularisation cornéenne	HP:0011496
Néovascularisation cornéenne	HP:0011496
Tissu cornéen	HP:0011496
Vascularisation cornéenne	HP:0011496
Néovascularisation limbique	HP:0011496
Formation de nouveaux vaisseaux sanguins dans la cornée	HP:0011496
Néovascularisation de l'iris	HP:0011497
Néovascularisation de l'iris	HP:0011497
Formation de nouveaux vaisseaux sanguins dans l'iris	HP:0011497
obsolète Aniridie partielle	HP:0011498
Mydriase	HP:0011499
Pupille dilatée	HP:0011499
Polycorie	HP:0011500
Plusieurs élèves	HP:0011500
Lenticône antérieur	HP:0011501
Lenticône postérieur	HP:0011502
Aplasie de la fovéa	HP:0011503
Fovéa absente	HP:0011503
Maculopathie en œil de bœuf	HP:0011504
Rétinopathie à la chloroquine	HP:0011504
Œdème maculaire cystoïde	HP:0011505
Œdème maculaire cystoïde	HP:0011505
Néovascularisation choroïdienne	HP:0011506
Taches maculaires	HP:0011507
Trou maculaire	HP:0011508
Hyperpigmentation maculaire	HP:0011509
Drusen	HP:0011510
Fente maculaire	HP:0011511
Hyperpigmentation du fond d'œil	HP:0011512
Fundi hyperpigmenté	HP:0011512
Fond d'œil hyperpigmenté	HP:0011512
Angiome caverneux rétinien	HP:0011513
Anomalie de la vision binoculaire	HP:0011514
Stéréopse anormale	HP:0011515
Achromatopsie	HP:0011516
Monochromie de tige	HP:0011516
Monochromatisme de tige	HP:0011516
Monochromie du cône	HP:0011517
Dichromatie	HP:0011518
Trichromie anormale	HP:0011519
Deutéranomalie	HP:0011520
Deutéranomolie	HP:0011520
Vert-faible	HP:0011520
Deutéranopie	HP:0011521
Store vert	HP:0011521
Protanopie	HP:0011522
Aveugle-rouge	HP:0011522
Kyste de l'iris	HP:0011523
Mélanome de l'iris	HP:0011524
Naevus de l'iris	HP:0011525
Tache de rousseur des yeux	HP:0011525
Anomalie de forme de lentille	HP:0011526
Anomalie de forme de lentille	HP:0011526
Lentiglobus	HP:0011527
Renflement du cristallin	HP:0011527
Hypertrophie congénitale solitaire de l'épithélium pigmentaire rétinien	HP:0011528
CHRPE simple isolé	HP:0011528
Hypertrophie congénitale isolée unique de l'épithélium pigmentaire rétinien	HP:0011528
Hypertrophie congénitale bilatérale multiple de l'épithélium pigmentaire rétinien	HP:0011529
CHRPE bilatéraux multiples	HP:0011529
Trou rétinien	HP:0011530
Trous rétiniens	HP:0011530
vitrite	HP:0011531
Hyalite	HP:0011531
Vitréite	HP:0011531
Exsudat sous-rétinien	HP:0011532
Dégénérescence vitréo-rétinienne en flocon de neige	HP:0011533
Dégénérescence rétinienne en flocon de neige	HP:0011533
Orientation spatiale anormale des segments cardiaques	HP:0011534
Disposition auriculaire anormale	HP:0011535
Localisation anormale de l'oreillette cardiaque	HP:0011535
Isomérie auriculaire droite	HP:0011536
Isomérie auriculaire gauche	HP:0011537
Site auriculaire inversé	HP:0011538
Site auriculaire ambigu	HP:0011539
Hétérotaxie auriculaire	HP:0011539
Site auriculaire ambigu	HP:0011539
Transposition congénitalement corrigée des grosses artères	HP:0011540
L-transposition	HP:0011540
Inversion ventriculaire	HP:0011540
Valves auriculo-ventriculaires entrecroisées	HP:0011541
Valves auriculo-ventriculaires entrecroisées avec ventricules supérieur-inférieur	HP:0011542
Ventricules supérieurs-inférieurs sans valves auriculo-ventriculaires entrecroisées	HP:0011543
Boucle en L du ventricule droit	HP:0011544
Connexion anormale des segments cardiaques	HP:0011545
Connexion anormale des segments cardiaques	HP:0011545
Connexion discordante des segments cardiaques	HP:0011545
Connexion auriculo-ventriculaire anormale	HP:0011546
Connexion auriculo-ventriculaire anormale	HP:0011546
Absence de connexion auriculo-ventriculaire gauche	HP:0011547
Absence de connexion auriculo-ventriculaire gauche	HP:0011547
Absence de connexion auriculo-ventriculaire droite	HP:0011548
Absence de connexion auriculo-ventriculaire droite	HP:0011548
Coeur univentriculaire avec connexion auriculo-ventriculaire gauche absente	HP:0011549
Coeur univentriculaire avec connexion auriculo-ventriculaire gauche absente	HP:0011549
Cœur biventriculaire avec valve auriculo-ventriculaire droite chevauchante et connexion auriculo-ventriculaire gauche absente	HP:0011550
Atrium du côté droit au ventricule gauche et connexion auriculo-ventriculaire gauche absente	HP:0011551
Atrium du côté droit au ventricule gauche et connexion auriculo-ventriculaire gauche absente	HP:0011551
Connexion auriculo-ventriculaire ambiguë	HP:0011552
Connexion auriculo-ventriculaire ambiguë	HP:0011552
Connexion auriculo-ventriculaire discordante	HP:0011553
Connexion auriculo-ventriculaire discordante	HP:0011553
Connexion auriculo-ventriculaire à double entrée	HP:0011554
Connexion auriculo-ventriculaire à double entrée	HP:0011554
Ventricule gauche à double entrée	HP:0011555
Ventricule droit à double entrée	HP:0011556
Double entrée vers un ventricule unique de morphologie indéterminée	HP:0011557
Double entrée vers un ventricule unique avec orifice auriculo-ventriculaire commun	HP:0011558
Double entrée vers un ventricule unique avec deux valves auriculo-ventriculaires	HP:0011559
Atrésie mitrale	HP:0011560
Atrésie de la valve mitrale	HP:0011560
Valve auriculo-ventriculaire prioritaire	HP:0011561
Valve auriculo-ventriculaire chevauchante	HP:0011562
Connexion ventriculo-artérielle anormale	HP:0011563
Connexion ventriculo-artérielle anormale	HP:0011563
Connexion ventriculo-artérielle anormale	HP:0011563
Arcade de la valve mitrale	HP:0011564
Valve mitrale en hamac	HP:0011564
Atrium commun	HP:0011565
Atrium unique	HP:0011565
Coeur du triatrium droit	HP:0011566
Triade cardiaque droite	HP:0011566
Communication interauriculaire du sinus veineux	HP:0011567
Valve mitrale à double orifice	HP:0011568
Feuillet de la valve mitrale antérieure de la fente	HP:0011569
Sténose mitrale congénitale	HP:0011570
Valve mitrale parachute	HP:0011571
Anneau supramitral	HP:0011572
Sténose mitrale supravalvulaire membraneuse	HP:0011572
Anneau mitral supravalvulaire	HP:0011572
Valve tricuspide hypoplasique	HP:0011573
Hypoplasie de la valve tricuspide	HP:0011573
Valve tricuspide sous-développée	HP:0011573
Valve auriculo-ventriculaire imperforée	HP:0011574
Valve auriculo-ventriculaire non ouverte	HP:0011574
Valve tricuspide imperforée	HP:0011575
Valve tricuspide non ouverte	HP:0011575
Anomalie du canal auriculo-ventriculaire intermédiaire	HP:0011576
Communication interauriculo-ventriculaire intermédiaire	HP:0011576
Anomalie partielle du canal auriculo-ventriculaire	HP:0011577
Anomalie transitionnelle du canal auriculo-ventriculaire	HP:0011578
Anomalie déséquilibrée du canal auriculo-ventriculaire	HP:0011579
Communication interauriculo-ventriculaire déséquilibrée	HP:0011579
Cordes tendineuses courtes de la valvule mitrale	HP:0011580
Ventricule gauche à double sortie	HP:0011581
Ectopie abdominale du coeur	HP:0011582
Ectopie cervicale du coeur	HP:0011583
Ectopie cordiale thoracocervicale	HP:0011584
Ectopie thoracique du coeur	HP:0011585
Ectopie thoraco-abdominale du cœur	HP:0011586
Schéma de ramification anormal de la crosse aortique	HP:0011587
Arc aortique cervical	HP:0011588
Origine commune de l'artère brachiocéphalique droite et de l'artère carotide commune gauche	HP:0011589
Arc bovin	HP:0011589
Tronc brachiocéphalique commun	HP:0011589
Arc ovin	HP:0011589
Double arc aortique	HP:0011590
Crosse aortique gauche avec origine cervicale de l'artère sous-clavière droite	HP:0011591
Arc aortique gauche avec artère sous-clavière isolée	HP:0011592
Crosse aortique gauche avec diverticule rétro-œsophagien de Kommerell	HP:0011593
Diverticule commercial	HP:0011593
Crosse aortique droite avec diverticule rétro-œsophagien de Kommerell	HP:0011594
Arc aortique gauche avec artère sous-clavière droite rétro-œsophagienne	HP:0011595
Arc aortique gauche avec aorte descendante droite et canal artériel droit	HP:0011596
Arc aortique droit avec aorte descendante gauche et canal artériel gauche	HP:0011597
Arc aortique droit avec artère sous-clavière gauche rétro-œsophagienne	HP:0011598
Arc aortique droit avec artère sous-clavière gauche aberrante	HP:0011598
Arc aortique droit avec artère sous-clavière gauche anormale	HP:0011598
Mésocardie	HP:0011599
Direction anormale de l'apex ventriculaire	HP:0011600
Direction vers la droite de l’apex ventriculaire	HP:0011601
Direction médiane de l’apex ventriculaire	HP:0011602
Malformation congénitale des grosses artères	HP:0011603
Fenêtre aorto-pulmonaire	HP:0011604
Transposition congénitalement corrigée des grosses artères avec communication interventriculaire	HP:0011605
au CCT	HP:0011605
ccTGA	HP:0011605
obsolète Transposition des grosses artères avec septum ventriculaire intact	HP:0011606
obsolète Transposition des grosses artères avec communication interventriculaire	HP:0011607
Tronc artériel de type II	HP:0011608
Le tronc artériel de type II persiste	HP:0011608
Tronc artériel de type 2	HP:0011608
Tronc artériel de type III	HP:0011609
Le tronc artériel de type III persiste	HP:0011609
Tronc artériel de type 3	HP:0011609
Tronc artériel de type IV	HP:0011610
Le tronc artériel de type IV persiste	HP:0011610
Artériel du tronc de type 4	HP:0011610
Crosse aortique interrompue	HP:0011611
Obstruction de la crosse aortique	HP:0011611
Arc aortique transverse atrétique	HP:0011611
Crosse aortique interrompue de type A	HP:0011612
Crosse aortique interrompue type B	HP:0011613
Crosse aortique interrompue, type b	HP:0011613
Crosse aortique interrompue de type C	HP:0011614
Morphologie anormale du site pulmonaire	HP:0011615
Anomalie des sites pulmonaires	HP:0011615
Site pulmonaire inversé	HP:0011616
Le site pulmonaire est ambigu	HP:0011617
Site pulmonaire ambigu avec poumons droits morphologiques bilatéraux	HP:0011618
Site ambigu pulmonaire avec poumons gauches morphologiques bilatéraux	HP:0011619
Anomalie du site abdominal	HP:0011620
Communication interventriculaire de Gerbode	HP:0011621
Communication ventriculaire gauche - auriculaire droite	HP:0011621
Communication interventriculaire d'entrée	HP:0011622
Communication interventriculaire de type canal auriculo-ventriculaire	HP:0011622
Communication interventriculaire de type 3	HP:0011622
Communication interventriculaire musculaire	HP:0011623
Communication interventriculaire de type 4	HP:0011623
Communication interventriculaire, musculaire	HP:0011623
Communication interventriculaire musculaire apicale	HP:0011624
Multiples communications interventriculaires musculaires	HP:0011625
Communication interventriculaire au fromage suisse	HP:0011625
Anomalie du cimeterre	HP:0011626
Syndrome veinolobaire pulmonaire	HP:0011626
Syndrome du cimeterre	HP:0011626
Tunnel aortoventriculaire	HP:0011627
Anomalie congénitale du péricarde	HP:0011628
Absence totale du péricarde	HP:0011629
Péricarde absent	HP:0011629
Absence congénitale du péricarde	HP:0011629
Absence diaphragmatique complète du péricarde	HP:0011630
Absence totale de péricarde du côté droit	HP:0011631
Absence partielle du péricarde du côté droit	HP:0011632
Absence totale de péricarde du côté gauche	HP:0011633
Absence de doublure autour du côté gauche du cœur	HP:0011633
Absence partielle du péricarde du côté gauche	HP:0011634
Absence diaphragmatique partielle du péricarde	HP:0011635
Origine anormale de l'artère coronaire	HP:0011636
Origine anormale de l'artère coronaire à partir de l'artère pulmonaire	HP:0011637
